#,"Anchor Text","Referring Domains Total","Referring Domains with Anchor (Percent %)","Referring Domains Dofollow (desc)","Referring Domains Dofollow with Anchor (Percent %)","Referring Pages Count","Referring Pages with Anchor (Percent %)","First Seen","Last Check"
23,"подтяжка груди (мастопексия)",3,3,2,4,3,0.03,"2016-08-13 23:03:32","2020-01-08 22:01:08"
24,"получите купон на скидку прямо сейчас",2,2,2,4,2,0.02,"2018-04-23 17:29:00","2019-12-12 01:46:41"
25,"реконструктивную пластику",2,2,2,4,2,0.02,"2020-02-13 00:48:02","2020-06-08 01:55:10"
26,"сизов сергей владимирович",2,2,2,4,9,0.09,"2018-11-21 00:30:51","2020-02-04 08:15:01"
27,"узнать стоимость ...",2,2,2,4,2,0.02,"2018-06-26 04:55:10","2020-01-29 15:35:26"
28,"христенко анна ивановна",2,2,2,4,7,0.07,"2019-10-23 17:53:41","2020-05-04 18:32:34"
29,"центра пластической хирургии «см-пластика»",2,2,2,4,2,0.02,"2016-05-17 13:51:08","2020-02-20 17:23:42"
30,"щепелин михаил андреевич",2,2,2,4,9,0.09,"2018-10-07 20:09:10","2020-02-04 08:15:01"
31,"http://blefaroweek.sm-plastica.ru/bitri ... -relaks.ru",1,1,1,2,1,0.01,"2019-05-01 20:42:04","2020-03-08 18:58:11"
32,"http://blefaroweek.sm-plastica.ru/bitri ... q.lt/datjp",1,1,1,2,1,0.01,"2019-02-22 05:21:34","2019-03-13 10:43:14"
33,"http://blefaroweek.sm-plastica.ru/bitri ... w.tf/ebqaw",1,1,1,2,1,0.01,"2018-12-30 17:58:36","2019-02-06 08:55:06"
34,http://sm-plastica.ru/about/,1,1,1,2,1,0.01,"2020-06-07 16:36:46","2020-06-07 16:36:46"
35,http://sm-plastica.ru/services/plastika-grudi/,1,1,1,2,5,0.05,"2017-02-15 16:45:34","2020-04-14 08:40:43"
36,https://www.sm-plastica.ru/,1,1,1,2,1,0.01,"2019-09-04 06:40:01","2019-09-04 06:40:01"
