#,"Total Backlinks","Domain Rating","URL Rating (desc)","Referring Domains","Referring Page URL","Referring Page Title","Internal Links Count","External Links Count","Link URL",TextPre,"Link Anchor",TextPost,Type,"Backlink Status","First Seen","Last Check","Day Lost",Language,Traffic,Keywords,"Js rendered","Linked Domains"
64,1,56,10,1,https://www.smclinic.ru/professional-services/centr-korrekcii-figuri/,"Центр коррекции фигуры «СМ-Клиника»",98,35,https://www.sm-plastica.ru/experts/li-aleksandr-gennadevich/,,"Ли Александр Геннадьевич пластический хирург, к.м.н",,"Dofollow, Image",,"2020-02-06 22:58:01","2020-06-11 12:44:48",,ru,0.08,4,,15
65,1,56,10,1,https://www.smclinic.ru/professional-services/centr-korrekcii-figuri/,"Центр коррекции фигуры «СМ-Клиника»",98,35,https://www.sm-plastica.ru/experts/malyaev-aleksey-aleksandrovich/,,"Маляев Алексей Александрович пластический хирург",,"Dofollow, Image",,"2020-02-06 22:58:01","2020-06-11 12:44:48",,ru,0.08,4,,15
66,1,56,10,1,https://www.smclinic.ru/professional-services/centr-korrekcii-figuri/,"Центр коррекции фигуры «СМ-Клиника»",98,35,https://www.sm-plastica.ru/experts/pakhilin-dmitriy-viktorovich/,,"Пахилин Дмитрий Викторович пластический хирург",,"Dofollow, Image",,"2020-02-06 22:58:01","2020-06-11 12:44:48",,ru,0.08,4,,15
67,1,56,10,1,https://www.smclinic.ru/professional-services/centr-korrekcii-figuri/,"Центр коррекции фигуры «СМ-Клиника»",98,35,https://www.sm-plastica.ru/experts/shchepelin-mikhail-andreevich/,,"Щепелин Михаил Андреевич пластический хирург, к.м.н",,"Dofollow, Image",,"2020-02-06 22:58:01","2020-06-11 12:44:48",,ru,0.08,4,,15
68,1,56,10,1,https://www.smclinic.ru/professional-services/centr-korrekcii-figuri/,"Центр коррекции фигуры «СМ-Клиника»",98,35,https://www.sm-plastica.ru/experts/sizov-sergey-vladimirovich/,,"Сизов Сергей Владимирович пластический хирург",,"Dofollow, Image",,"2020-02-06 22:58:01","2020-06-11 12:44:48",,ru,0.08,4,,15
69,1,51,10,0,http://150.flybb.ru/topic3.html,"seo • Просмотр темы - Контекстные ссылки смотрятся натуральными ссылками, таккак о",21,293,http://www.sm-plastica.ru/bitrix/rk.php?goto=http://miheeff.site,"разработка сайтов белгород продвижение казань","влияет seo","менеджер по рекламе index.CMS","Dofollow, Content",,"2017-05-23 09:56:46","2020-05-19 18:01:29",,ru,0,0,,251
70,6,70,10,0,https://techart.ru/portfolio/cosmetology/,"Маркетинговая группа «Текарт» | Косметология",75,96,http://sm-plastica.ru/,,"СМ-Клиника | промо-сайты акций ""Пластическая хирургия"" для женщин",,Dofollow,,"2018-02-12 06:01:32","2020-06-14 06:47:18",,ru,0,1,,21
71,3,70,10,0,https://web.techart.ru/clients-examples/archive/2016.html,"Примеры разработанных веб сайтов, web дизайнов — Web.Techart",33,44,http://blefaroweek.sm-plastica.ru/,,"Текущая версия сайта",,Nofollow,,"2019-04-14 09:44:18","2020-06-16 01:50:05",,,0,0,,30
72,4,68,10,0,http://www.medlinks.ru/user.php?op=userinfo&uname=sm-plastica,MedLinks.ru,38,7,http://sm-plastica.ru/,,http://sm-plastica.ru,,Nofollow,,"2019-02-02 11:44:26","2020-05-18 14:15:25",,,0,0,,6
73,2,60,10,0,http://www.webviki.ru/sm-plastica.ru,"Sm-Plastica.ru - СМ-Пластика» - клиника пластической хирургии, центр",46,5,http://sm-plastica.ru/,,"Гото Sm-plastica.ru",,Nofollow,,"2016-11-15 18:22:42","2020-06-10 02:25:15",,ru,0,0,,4
74,10,63,10,0,https://msk.yp.ru/rajon/severnyi_ao/plasticheskaya_khirurgiya/,"Пластическая хирургия в Северном АО",26,28,http://www.sm-plastica.ru/,,www.sm-plastica.ru,,"Nofollow, Image",,"2019-06-04 18:42:32","2020-04-25 05:32:48",,ru,0,0,,17
